description,category,person_names,dates,topics,effects,anatomical_terms
"Reported incident: Child with impairments affecting daily life. Child reported by Derrick Miles Incident occurred on 19 June 2024 Topics involved include child marriage, child labor Effects reported: anxiety Affected parts: genitals.",Child with disability,Derrick Miles,19 June 2024,child marriage; child labor,anxiety,genitals
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Mikayla Sloan, Christopher Davidson Incident occurred on 06 June 2022, 19 May 2023 Topics involved include harmful cultural practices, child labor Affected parts: reproductive organs.",Abandoned,Mikayla Sloan; Christopher Davidson,06 June 2022; 19 May 2023,harmful cultural practices; child labor,,reproductive organs
"Narrative: Acts harming a child's emotional development. Child reported by Trevor Kennedy Incident occurred on 17 March 2021, 15 July 2021.",Emotional abuse,Trevor Kennedy,17 March 2021; 15 July 2021,,,
"Summary: Child engaged in use or trafficking of drugs. Child reported by Annette Mcintyre, Jasmin Glass Incident occurred on 12 March 2022, 14 June 2024 Topics involved include child marriage Effects reported: anxiety Affected parts: reproductive organs.",Drug and substance abuse,Annette Mcintyre; Jasmin Glass,12 March 2022; 14 June 2024,child marriage,anxiety,reproductive organs
"Summary: Hazardous, exploitative or inappropriate work for a child. Child reported by Travis Newman, Andrea Gibson Incident occurred on 24 September 2022, 29 October 2020 Topics involved include online child abuse, Female Genital Mutilation Effects reported: high rate of bleeding, trauma.",Child labor,Travis Newman; Andrea Gibson,24 September 2022; 29 October 2020,online child abuse; Female Genital Mutilation,high rate of bleeding; trauma,
"Case overview: A child living, begging, or working on the street. Child reported by Sean Lucas Incident occurred on 10 November 2023, 01 December 2020 Effects reported: high rate of bleeding, infection Affected parts: reproductive organs.",Children on the Street,Sean Lucas,10 November 2023; 01 December 2020,,high rate of bleeding; infection,reproductive organs
"Reported incident: Child tested positive for HIV. Child reported by Nicholas Figueroa, Marie Hartman Incident occurred on 28 October 2022, 17 November 2020 Effects reported: HIV Affected parts: reproductive organs.",Child infected with HIV,Nicholas Figueroa; Marie Hartman,28 October 2022; 17 November 2020,,HIV,reproductive organs
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Hannah Bauer, Danny Salas Incident occurred on 11 December 2021.",Abandoned,Hannah Bauer; Danny Salas,11 December 2021,,,
"Summary: Care and control of a child by law or agreement. Child reported by Brandon Vasquez, Kimberly Harrell Incident occurred on 04 August 2024 Topics involved include child marriage Effects reported: anxiety, high rate of bleeding Affected parts: labia minora.",Custody,Brandon Vasquez; Kimberly Harrell,04 August 2024,child marriage,anxiety; high rate of bleeding,labia minora
"Reported incident: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by James Roberts, Gerald Young Incident occurred on 03 December 2021, 26 September 2022 Topics involved include Female Genital Mutilation, child labor.",Sexual assault and Abuse,James Roberts; Gerald Young,03 December 2021; 26 September 2022,Female Genital Mutilation; child labor,,
"Narrative: Non-medical cutting or injury of female genitals. Child reported by Patricia Wright, Tamara Flores Incident occurred on 14 March 2024 Topics involved include online child abuse Effects reported: trauma.",Female Genital Mutilation (FGM),Patricia Wright; Tamara Flores,14 March 2024,online child abuse,trauma,
"Narrative: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Robert Ford, Jessica Jackson Incident occurred on 04 March 2025, 12 May 2023.",Abandoned,Robert Ford; Jessica Jackson,04 March 2025; 12 May 2023,,,
Summary: Child engaged in use or trafficking of drugs. Child reported by Wanda Fisher Incident occurred on 09 September 2021.,Drug and substance abuse,Wanda Fisher,09 September 2021,,,
"Narrative: A child living, begging, or working on the street. Child reported by Andrea Santos Incident occurred on 01 May 2023 Topics involved include emotional abuse, drug and substance abuse Affected parts: labia majora.",Children on the Street,Andrea Santos,01 May 2023,emotional abuse; drug and substance abuse,,labia majora
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Brandon Parker MD, Kirsten Rogers Incident occurred on 09 December 2020 Topics involved include Female Genital Mutilation, online child abuse Effects reported: anxiety Affected parts: clitoris.",Drug and substance abuse,Brandon Parker MD; Kirsten Rogers,09 December 2020,Female Genital Mutilation; online child abuse,anxiety,clitoris
Summary: Care and control of a child by law or agreement. Child reported by David Ayala Incident occurred on 26 October 2023 Topics involved include emotional abuse Effects reported: infection Affected parts: labia majora.,Custody,David Ayala,26 October 2023,emotional abuse,infection,labia majora
"Summary: Right of a child to be registered at birth. Child reported by Leslie Oconnor, Yolanda Robinson Incident occurred on 22 January 2021, 13 May 2024 Effects reported: high rate of bleeding, HIV Affected parts: labia minora.",Registration,Leslie Oconnor; Yolanda Robinson,22 January 2021; 13 May 2024,,high rate of bleeding; HIV,labia minora
"Reported incident: Acts harming a child's emotional development. Child reported by Kathryn Robinson, Emily Adkins Incident occurred on 28 August 2022, 05 April 2023 Affected parts: labia majora.",Emotional abuse,Kathryn Robinson; Emily Adkins,28 August 2022; 05 April 2023,,,labia majora
"Summary: A child living, begging, or working on the street. Child reported by Cynthia Ferguson, William Richardson Incident occurred on 12 February 2024 Topics involved include Female Genital Mutilation, drug and substance abuse.",Children on the Street,Cynthia Ferguson; William Richardson,12 February 2024,Female Genital Mutilation; drug and substance abuse,,
"Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Krystal Owens, Lisa Morris Incident occurred on 14 October 2023 Topics involved include Female Genital Mutilation, online child abuse Effects reported: high rate of bleeding, trauma Affected parts: labia majora.",Sexual assault and Abuse,Krystal Owens; Lisa Morris,14 October 2023,Female Genital Mutilation; online child abuse,high rate of bleeding; trauma,labia majora
"Narrative: Right of a child to be registered at birth. Child reported by Shane Kennedy Incident occurred on 24 September 2021 Effects reported: HIV, infection.",Registration,Shane Kennedy,24 September 2021,,HIV; infection,
"Summary: Non-medical cutting or injury of female genitals. Child reported by Brandi Smith Incident occurred on 13 May 2022, 04 February 2023 Topics involved include Female Genital Mutilation Effects reported: psychological problems Affected parts: labia minora.",Female Genital Mutilation (FGM),Brandi Smith,13 May 2022; 04 February 2023,Female Genital Mutilation,psychological problems,labia minora
"Summary: Practices like FGM, forced marriage, or virginity testing. Child reported by Adam David Incident occurred on 17 January 2024, 14 April 2025 Topics involved include drug and substance abuse, online child abuse Effects reported: infection, high rate of bleeding.",Harmful cultural practices,Adam David,17 January 2024; 14 April 2025,drug and substance abuse; online child abuse,infection; high rate of bleeding,
"Narrative: Care and control of a child by law or agreement. Child reported by Elizabeth Walker MD Incident occurred on 01 May 2020 Topics involved include online child abuse, emotional abuse Effects reported: psychological problems.",Custody,Elizabeth Walker MD,01 May 2020,online child abuse; emotional abuse,psychological problems,
Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Lindsey Thomas Incident occurred on 24 November 2021 Topics involved include harmful cultural practices Affected parts: genitals.,Abduction,Lindsey Thomas,24 November 2021,harmful cultural practices,,genitals
"Case overview: Acts harming a child's emotional development. Child reported by Francisco Mata Incident occurred on 15 May 2024 Topics involved include Female Genital Mutilation, emotional abuse Effects reported: HIV, psychological problems.",Emotional abuse,Francisco Mata,15 May 2024,Female Genital Mutilation; emotional abuse,HIV; psychological problems,
"Summary: Child tested positive for HIV. Child reported by Jennifer Owens, Dakota Bond Incident occurred on 22 August 2023.",Child infected with HIV,Jennifer Owens; Dakota Bond,22 August 2023,,,
"Reported incident: An attempt to penetrate a child. Child reported by Nicole Morris Incident occurred on 01 October 2024, 15 January 2024 Topics involved include harmful cultural practices Affected parts: labia majora.",Attempted Defilement,Nicole Morris,01 October 2024; 15 January 2024,harmful cultural practices,,labia majora
"Summary: Girl under 18 who is pregnant. Child reported by Kevin Brewer, Nancy Escobar Incident occurred on 13 September 2024, 27 August 2024 Topics involved include child marriage Effects reported: psychological problems, trauma.",Child Pregnancy,Kevin Brewer; Nancy Escobar,13 September 2024; 27 August 2024,child marriage,psychological problems; trauma,
"Summary: A child living, begging, or working on the street. Child reported by Thomas Mills Incident occurred on 24 April 2025, 26 February 2024 Topics involved include Female Genital Mutilation, child labor Effects reported: anxiety, infection.",Children on the Street,Thomas Mills,24 April 2025; 26 February 2024,Female Genital Mutilation; child labor,anxiety; infection,
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Patrick Fletcher, Steve Riley DDS Incident occurred on 16 June 2024, 22 November 2024 Effects reported: trauma, anxiety.",Harmful cultural practices,Patrick Fletcher; Steve Riley DDS,16 June 2024; 22 November 2024,,trauma; anxiety,
